,time,variable,value,iteration,name
54,2020-02-20 22:58:09.393549000,sensor-RaplKey (PackageID 0),59.654449999987264,0,pcap60
55,2020-02-20 22:58:10.389358750,sensor-RaplKey (PackageID 0),59.42953500000294,0,pcap60
56,2020-02-20 22:58:11.389808750,sensor-RaplKey (PackageID 0),60.039824000006774,0,pcap60
57,2020-02-20 22:58:12.389412500,sensor-RaplKey (PackageID 0),59.57424999999057,0,pcap60
58,2020-02-20 22:58:13.398069250,sensor-RaplKey (PackageID 0),60.29775800000061,0,pcap60
59,2020-02-20 22:58:14.394946000,sensor-RaplKey (PackageID 0),59.87911900000472,0,pcap60
60,2020-02-20 22:58:15.389033250,sensor-RaplKey (PackageID 0),59.23428400000557,0,pcap60
61,2020-02-20 22:58:16.389740750,sensor-RaplKey (PackageID 0),60.01058899999771,0,pcap60
62,2020-02-20 22:57:22.115188000,sensor-RaplKey (PackageID 0),,0,pcap60
63,2020-02-20 22:57:23.125347750,sensor-RaplKey (PackageID 0),,0,pcap60
64,2020-02-20 22:57:24.123088500,sensor-RaplKey (PackageID 0),,0,pcap60
65,2020-02-20 22:57:25.121858000,sensor-RaplKey (PackageID 0),,0,pcap60
66,2020-02-20 22:57:26.128588250,sensor-RaplKey (PackageID 0),,0,pcap60
67,2020-02-20 22:57:27.123376750,sensor-RaplKey (PackageID 0),,0,pcap60
68,2020-02-20 22:57:28.151375000,sensor-RaplKey (PackageID 0),,0,pcap60
69,2020-02-20 22:57:29.148228750,sensor-RaplKey (PackageID 0),,0,pcap60
70,2020-02-20 22:57:30.140254500,sensor-RaplKey (PackageID 0),,0,pcap60
71,2020-02-20 22:57:31.150237750,sensor-RaplKey (PackageID 0),,0,pcap60
72,2020-02-20 22:57:32.148621000,sensor-RaplKey (PackageID 0),,0,pcap60
73,2020-02-20 22:57:33.149570750,sensor-RaplKey (PackageID 0),,0,pcap60
74,2020-02-20 22:57:34.160392000,sensor-RaplKey (PackageID 0),,0,pcap60
75,2020-02-20 22:57:35.150444750,sensor-RaplKey (PackageID 0),,0,pcap60
76,2020-02-20 22:57:36.160508250,sensor-RaplKey (PackageID 0),,0,pcap60
77,2020-02-20 22:57:37.163050500,sensor-RaplKey (PackageID 0),,0,pcap60
78,2020-02-20 22:57:38.166266250,sensor-RaplKey (PackageID 0),,0,pcap60
79,2020-02-20 22:57:39.163312000,sensor-RaplKey (PackageID 0),,0,pcap60
80,2020-02-20 22:57:40.173202250,sensor-RaplKey (PackageID 0),,0,pcap60
81,2020-02-20 22:57:41.181901250,sensor-RaplKey (PackageID 0),,0,pcap60
82,2020-02-20 22:57:42.193272000,sensor-RaplKey (PackageID 0),,0,pcap60
83,2020-02-20 22:57:43.201884750,sensor-RaplKey (PackageID 0),,0,pcap60
84,2020-02-20 22:57:44.214077500,sensor-RaplKey (PackageID 0),,0,pcap60
85,2020-02-20 22:57:45.205248250,sensor-RaplKey (PackageID 0),,0,pcap60
86,2020-02-20 22:57:46.220188500,sensor-RaplKey (PackageID 0),,0,pcap60
87,2020-02-20 22:57:47.205270750,sensor-RaplKey (PackageID 0),,0,pcap60
88,2020-02-20 22:57:48.207861750,sensor-RaplKey (PackageID 0),,0,pcap60
89,2020-02-20 22:57:49.230299250,sensor-RaplKey (PackageID 0),,0,pcap60
90,2020-02-20 22:57:50.226318750,sensor-RaplKey (PackageID 0),,0,pcap60
91,2020-02-20 22:57:51.225359000,sensor-RaplKey (PackageID 0),,0,pcap60
92,2020-02-20 22:57:52.228503750,sensor-RaplKey (PackageID 0),,0,pcap60
93,2020-02-20 22:57:53.226858000,sensor-RaplKey (PackageID 0),,0,pcap60
94,2020-02-20 22:57:54.248207750,sensor-RaplKey (PackageID 0),,0,pcap60
95,2020-02-20 22:57:55.243218000,sensor-RaplKey (PackageID 0),,0,pcap60
96,2020-02-20 22:57:56.237762250,sensor-RaplKey (PackageID 0),,0,pcap60
97,2020-02-20 22:57:57.245015250,sensor-RaplKey (PackageID 0),,0,pcap60
98,2020-02-20 22:57:58.260884500,sensor-RaplKey (PackageID 0),,0,pcap60
99,2020-02-20 22:57:59.254646000,sensor-RaplKey (PackageID 0),,0,pcap60
100,2020-02-20 22:58:00.263042500,sensor-RaplKey (PackageID 0),,0,pcap60
101,2020-02-20 22:58:01.258674500,sensor-RaplKey (PackageID 0),,0,pcap60
102,2020-02-20 22:58:02.270136000,sensor-RaplKey (PackageID 0),,0,pcap60
103,2020-02-20 22:58:03.261500000,sensor-RaplKey (PackageID 0),,0,pcap60
104,2020-02-20 22:58:04.274318750,sensor-RaplKey (PackageID 0),,0,pcap60
105,2020-02-20 22:58:05.279195000,sensor-RaplKey (PackageID 0),,0,pcap60
106,2020-02-20 22:58:06.294468000,sensor-RaplKey (PackageID 0),,0,pcap60
107,2020-02-20 22:58:07.278909500,sensor-RaplKey (PackageID 0),,0,pcap60
108,2020-02-20 22:58:08.284883000,sensor-RaplKey (PackageID 0),,0,pcap60
109,2020-02-20 22:58:09.285033250,sensor-RaplKey (PackageID 0),,0,pcap60
110,2020-02-20 22:58:10.296634000,sensor-RaplKey (PackageID 0),,0,pcap60
111,2020-02-20 22:58:11.298105250,sensor-RaplKey (PackageID 0),,0,pcap60
112,2020-02-20 22:58:13.304189000,sensor-RaplKey (PackageID 0),,0,pcap60
113,2020-02-20 22:58:14.310951500,sensor-RaplKey (PackageID 0),,0,pcap60
114,2020-02-20 22:58:15.308059750,sensor-RaplKey (PackageID 0),,0,pcap60
115,2020-02-20 22:58:16.322359750,sensor-RaplKey (PackageID 0),,0,pcap60
116,2020-02-20 22:58:16.870848250,sensor-RaplKey (PackageID 0),,0,pcap60
117,2020-02-20 22:57:15.389201750,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
118,2020-02-20 22:57:16.389119250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
119,2020-02-20 22:57:17.390301250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
120,2020-02-20 22:57:18.390088000,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
121,2020-02-20 22:57:19.393955500,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
122,2020-02-20 22:57:20.398065250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
123,2020-02-20 22:57:21.389085250,sensor-DownstreamCmdKey (DownstreamCmdID 4254a85a-0e24-4031-89ac-d0b97b5dea77),,0,pcap60
